EntityNumber,Language,TypeOfDenomination,Denomination
0205.970.788,1,1,Société Intercommunale pour l'Assainissement et l'Aménagement de la Vallée de la Woluwe
0205.970.788,2,1,Intercommunale maatschappij voor de Sanering en de Inrichting van het Dal van de Woluwe
0205.970.788,0,2,WOLUWEDAL - VALLEE WOLUWE
0206.041.757,1,1,Intercommunale pure de financement du Brabant Wallon
0206.041.757,1,2,IPFBW
0206.048.091,0,1,Skeyes
0206.157.761,1,1,"ACADEMIE INTERCOMMUNALE DE MUSIQUE, DE DANSE ET DES ARTS DE LA PAROLE DE COURT-SAINT-ÉTIENNE ET OTTIGNIES-LOUVAIN-LA-NEUVE"
0206.157.761,1,2,ACADEMIE INTERCOMMUNALE DES ARTS et ACADEMIE INTERCOMMUNALE
0206.414.218,0,1,Abattoir communal de Chimay
0206.460.639,2,1,Intergemeentelijk Samenwerkingsverband van het Land van Waas
0206.460.639,2,2,Interwaas
0206.491.422,1,1,Commune de Court-Saint-Etienne
0206.491.917,1,1,Commune de Mont-Saint-Guibert
0206.492.511,1,1,Régie de l'Electricité de Wavre
0206.492.610,1,1,Commune de Perwez
0206.492.907,0,1,Théatre Royal de la Monnaie - Koninklijke Muntschouwburg
0206.524.777,1,1,Ville de Virton
0206.524.876,1,1,Ville d'Arlon
0206.524.975,1,1,Ville de Bastogne
0206.538.536,0,1,Gemeentelijk Slachthuisbedrijf van Geel
0206.543.781,1,1,Ville de Neufchâteau
0206.544.474,1,1,Commune de Hotton
0206.544.672,1,1,Commune de Gedinne
0206.544.969,1,1,Ville de Bouillon
0206.545.266,0,1,Abattoir Communal de Bertrix
0206.545.266,0,2,206567042
0206.545.464,0,1,Abattoir Communal de Saint-Hubert
0206.545.464,0,2,206564666
0206.545.662,0,1,Abattoir Communal de La Roche
0206.559.025,0,1,Regle van Telegraaf en Telefoon (Gewest Hasselt)
0206.559.025,0,2,202239951
0206.561.993,2,1,Gemeente Steenokkerzeel
0206.562.092,2,1,Gemeente Hoeilaart
0206.564.666,1,1,Ville de Saint-Hubert
0206.564.963,1,1,Commune de Libin
0206.565.656,1,1,Commune de Daverdisse
0206.565.755,1,1,Commune de Wellin
0206.565.953,1,1,Commune de Herbeumont
0206.566.052,1,1,Commune de Paliseul
0206.567.042,1,1,Commune de Bertrix
0206.567.339,1,1,Commune de Léglise
0206.578.722,1,1,Ville de La Roche-en-Ardenne
0206.578.821,1,1,Commune de Tenneville
0206.582.284,1,1,Commune d'Anderlecht
0206.582.284,2,1,Gemeente Anderlecht
0206.593.667,0,1,Centrale Electrique
0206.607.129,0,1,Banc d'Epreuves des Armes a Feu de Liège
0206.618.215,1,1,Ville d'Eupen
0206.618.215,3,1,Stadt Eupen
0206.621.183,1,1,Ville de Limbourg
0206.621.282,1,1,Commune de Pepinster
0206.621.678,1,1,Commune de Baelen
0206.621.975,1,1,Commune de Welkenraedt
0206.625.935,1,1,Ville de Walcourt
0206.626.331,1,1,Ville de Philippeville
0206.626.925,1,1,Ville de Couvin
0206.628.707,1,1,Ville de Châtelet
0206.636.526,2,1,Gemeente Nijlen
0206.642.563,1,1,Ville de Nivelles
0206.644.444,1,1,Commune de Dison
0206.644.741,1,1,Ville de Verviers
0206.645.533,0,1,Intercommunale Belge d'Electricité Centrale de Monceau-sur-Sambre
0206.645.533,0,2,203177683
0206.646.721,0,1,Intercommunale des Oeuvres Sociales
0206.653.946,1,1,Institut National d'Assurance Maladie-Invalidité
0206.653.946,1,2,INAMI
0206.653.946,2,1,Rijksinstituut voor Ziekte- en Invaliditeitsverzekering
0206.653.946,2,2,RIZIV
0206.653.946,3,1,Landesinstitut für Kranken- und Invalidenversicherung
0206.653.946,3,2,LIKIV
0206.667.606,1,1,Ville d'Enghien
0206.677.801,2,1,Gemeente Brasschaat
0206.677.997,2,1,Gemeente Schoten
0206.684.927,2,1,Stad Blankenberge
0206.690.271,1,1,Ville de Fosses-la-Ville
0206.691.756,0,1,Intercommunale du Gaz et de l'Electricité
0206.691.756,0,2,203177683
0206.694.528,0,1,Bestuur der Posterijen
0206.694.528,0,2,214596464
0206.695.419,1,1,Fabrique d'Eglise Anglicane - Eglise Anglicane Unifiée - United Anglican Church (BR - Bruxelles)
0206.695.419,2,1,Anglicaanse Kerkfabriek - Verenigde Anglicaanse Kerk - United Anglican Church (BR - Brussel)
0206.700.763,1,1,Ville de Malmédy
0206.700.763,3,1,Stadt Malmedy
0206.700.862,1,1,Ville de Houffalize
0206.701.159,1,1,Commune d'Anhée
0206.701.753,1,1,Ville de Ciney
0206.702.050,1,1,Ville de Dinant
0206.703.040,1,1,Commune de Florennes
0206.704.525,1,1,Commune de Houyet
0206.705.713,1,1,Commune d'Onhaye
0206.706.109,1,1,Ville de Rochefort
0206.706.604,1,1,Commune d'Yvoir
0206.731.546,0,1,Ligue Européenne de Coopération Economique
0206.731.546,0,2,408289628
0206.731.645,1,1,Office National de Sécurité Sociale
0206.731.645,1,2,ONSS
0206.731.645,2,1,Rijksdienst voor Sociale Zekerheid
0206.731.645,2,2,RSZ
0206.731.645,3,1,Landesamt für soziale Sicherheit
0206.731.645,3,2,LSS
0206.731.744,1,1,Caisse de Prévoyance des Ouvriers Mineurs
0206.731.744,2,1,Voorzorgskas voor de Mijnwerkers
0206.732.338,1,1,Bureau permanent des Oeuvres nationales des Victimes de Guerre
0206.732.338,2,1,Vast Bureau voor Nationale Werken voor Oorlogsgetroffenen
0206.732.437,1,1,Caisse Auxiliaire d'Assurance Maladie-Invalidité
0206.732.437,1,2,CAAMI
0206.732.437,2,1,Hulpkas voor Ziekte- en Invaliditeitsverzekering
0206.732.437,2,2,HZIV
0206.732.437,3,1,Hilfskasse für Kranken- und Invalidenversicherung
0206.732.536,1,1,Caisse Auxiliaire de Paiement des Allocations de Chômage
0206.732.536,1,2,CAPAC
0206.732.536,2,1,Hulpkas voor Werkloosheidsuitkeringen
0206.732.536,2,2,HVW
0206.732.536,3,1,Hilfszahlstelle für Arbeitslosenunterstützungen
0206.732.536,3,2,HFA
0206.732.932,1,1,Office National des Vacances Annuelles
0206.732.932,1,2,ONVA
0206.732.932,2,1,Rijksdienst voor Jaarlijkse Vakantie
0206.732.932,2,2,RJV
0206.732.932,3,1,Landesamt für den Jahresurlaub
0206.732.932,3,2,LJU
0206.733.130,1,1,Conseil central de l'Économie
0206.733.130,2,1,Centrale Raad voor het Bedrijfsleven
0206.733.130,3,1,Zentraler Wirtschaftsrat
0206.733.229,1,1,Conseil National du Travail
0206.733.229,1,2,CNT
0206.733.229,2,1,Nationale Arbeidsraad
0206.733.229,2,2,NAR
0206.733.229,3,1,Nationaler Arbeitsrat
0206.734.021,1,1,Conseil supérieur des Indépendants et des petites et moyennes Entreprises
0206.734.021,2,1,Hoge Raad voor de Zelfstandigen en de Kleine en Middelgrote Ondernemingen
0206.734.021,3,1,Hober für Selbständige und Kleine und Mittlere Betriebe
0206.734.318,1,1,Agence fédérale des risques professionnels
0206.734.318,1,2,Fedris
0206.734.318,2,1,Federaal agentschap voor beroepsrisico's
0206.734.318,2,2,Fedris
0206.734.318,3,1,Föderalagentur für berufsrisiken
0206.734.318,3,2,Fedris
0206.734.417,1,1,Fonds des Construction de l'Enseignement supérieur et des Cités universitaires de l'Etat
0206.734.417,2,1,Fonds voor de Hoger Onderwijsgebouwen en Studentenverblijven van het Rijk
0206.734.516,1,1,Fonds des Constructions scolaires et parascolaires de l'Etat
0206.734.516,2,1,Fonds voor Schoolgebouwen en Gebouwen in Schoolverband van het Rijk
0206.735.110,0,1,Gemeenschappelijke kas voor de koopvaardij
0206.735.506,0,1,Institut Economique et social des classes moyennes - Economisch en sociaal instituut voor de middenstand
0206.735.506,0,2,IESCM - ESIM
0206.735.803,0,1,Institut pour l'encouragement de la Recherche scientifique dans l'Industrie et l'Agriculture
0206.735.803,0,2,I.R.S.I.A.
0206.736.001,0,1,Etablissement des assurances sociales d'Eupen-Malmédy
0206.737.088,0,1,Office d'identification-Identificatiedienst
0206.737.484,1,1,Office National de l'Emploi
0206.737.484,1,2,ONEM
0206.737.484,2,1,Rijksdienst voor Arbeidsvoorziening
0206.737.484,2,2,RVA
0206.737.484,3,1,Landesamt für Arbeitsbeschaffung
0206.737.484,3,2,LfA
0206.737.880,1,1,Orchestre national de Belgique
0206.737.880,2,1,Nationaal Orkest van België
0206.737.880,3,1,Nationalorchester von Belgien
0206.738.078,1,1,Service fédéral des Pensions
0206.738.078,1,2,SFP
0206.738.078,2,1,Federale Pensioendienst
0206.738.078,2,2,FPD
0206.738.078,3,1,Föderaler Pensionsdienst
0206.738.078,3,2,FPD
0206.751.837,2,1,Stad Poperinge
0206.767.574,2,1,IGEAN dienstverlening
0206.768.366,1,1,Commune de Spa
0206.772.722,1,1,ASSOCIATION INTERCOMMUNALE D'OEUVRES MEDICO-SOCIALES DE MORLANWELZ ET ENVIRONS
0206.772.722,1,2,A.I.O.M.S. MORLANWELZ
0206.848.639,2,1,Intergemeentelijke Maatschappij voor Openbare Gezondheid in Zuid-West-Vlaanderen
0206.848.639,2,2,I.M.O.G.
0206.914.361,2,1,Stad Borgloon
0207.067.482,2,1,Stad Tongeren
0207.078.568,1,1,Commune de Saint-Vith
0207.078.568,3,1,Gemeinde Sankt Vith
0207.087.872,2,1,"Dender, Durme en Schelde"
0207.087.872,2,2,D.D.S.
0207.142.411,0,1,Société de Transports Intercommunaux de l'Aglomération Verviétoise
0207.142.411,0,2,206644048
0207.145.181,0,1,Régie des Eaux de la Ville de Wavre
0207.146.864,0,1,Office de la Coopération au Développement
0207.146.963,0,1,Provinciale Limburgse Elektriciteitsdienst
0207.146.963,0,2,P.L.E.D.
0207.147.458,0,1,Rijkstechnisch en Landbouwinstituut
0207.147.656,0,1,Institut d'Enseignement Technique de l'Etat
0207.147.854,0,1,Rijksinstituut voor Technisch Onderwijs
0207.147.854,0,2,R.T.S. Roeselare
0207.148.052,2,1,Openbaar Centrum voor Maatschappelijk Welzijn van Genk
0207.148.052,2,2,O.C.M.W.
0207.148.250,1,1,Ville de Péruwelz
0207.165.769,2,1,Fluvius Limburg
0207.201.797,2,1,Stad Genk
0207.202.193,1,1,Commune de Saint-Josse-ten-Noode
0207.202.193,2,1,Gemeente Sint-Joost-ten-Node
0207.215.160,2,1,Gemeente Vorselaar
0207.227.731,1,1,Commune de Grez-Doiceau
0207.258.514,1,1,Ville d'Andenne
0207.274.350,1,1,Ville de Genappe
0207.274.647,1,1,Commune de Chaumont-Gistoux
0207.275.538,1,1,Commune de Villers-la-Ville
0207.277.122,1,1,Commune de Waterloo
0207.277.617,1,1,Commune de Rixensart
0207.279.397,1,1,Commune de Bernissart
0207.279.793,1,1,Commune d'Ittre
0207.280.090,1,1,Commune de Brugelette
0207.280.387,1,1,Commune de Courcelles
0207.281.476,1,1,Ville d'Ath
0207.282.169,1,1,Commune de Gerpinnes
0207.282.268,1,1,Commune de La Hulpe
0207.283.654,1,1,Commune de Pont-à-Celles
0207.283.951,1,1,Commune de Seneffe
0207.284.248,1,1,Commune de Chapelle-lez-Herlaimont
0207.284.347,1,1,Ville de Fontaine-l'Evêque
0207.284.644,1,1,Commune de Montigny-le-Tilleul
0207.286.129,1,1,Commune de Boussu
0207.286.822,1,1,Commune de Dour
0207.287.713,1,1,Commune de Frameries
0207.288.604,1,1,Commune de Beauvechain
0207.289.295,1,1,Commune de Jurbise
0207.290.681,1,1,Commune de Lens (Hainaut)
0207.291.572,1,1,Commune de Quaregnon
0207.292.463,1,1,Ville de Saint-Ghislain
0207.293.651,1,1,Ville de Comines-Warneton
0207.294.047,1,1,Ville de Braine-le-Comte
0207.294.443,1,1,Ville de Mouscron
0207.297.017,1,1,Ville du Roeulx
0207.297.116,1,1,Ville de Lessines
0207.298.106,1,1,Commune d'Anderlues
0207.298.502,1,1,Ville de Beaumont
0207.298.995,1,1,Ville de Soignies
0207.299.589,1,1,Ville de Binche
0207.300.678,1,1,Ville de Chimay
0207.300.876,1,1,Commune d'Erquelinnes
0207.301.767,1,1,Commune de Froidchapelle
0207.302.559,1,1,Commune de Lobbes
0207.303.054,1,1,Commune de Momignies
0207.303.747,1,1,Commune de Merbes-le-Château
0207.306.717,1,1,Ville d'Antoing
0207.307.311,1,1,Ville de Thuin
0207.308.596,1,1,Commune de Celles (lez-Tournai)
0207.309.091,1,1,Commune d'Estaimpuis
0207.309.784,1,1,Commune de Beloeil
0207.310.774,1,1,Ville de Charleroi
0207.312.259,1,1,Commune d'Ellezelles
0207.312.358,1,1,Commune de Flobecq
0207.312.457,1,1,Commune de Quiévrain
0207.312.952,1,1,Commune de Braine-l'Alleud
0207.313.348,1,1,Ville de Fleurus
0207.314.041,1,1,Commune de Tubize
0207.315.229,1,1,Commune de Braine-le-Château
0207.316.021,1,1,Ville de Wavre
0207.316.714,1,1,Ville de Chièvres
0207.318.197,1,1,Commune de Farciennes
0207.318.593,1,1,Commune de Manage
0207.330.471,1,1,Commune d'Amay
0207.332.352,1,1,Commune de Pecq
0207.333.441,1,1,Commune de Hamoir
0207.333.738,1,1,Commune de Héron
0207.333.837,1,1,Commune de Ferrières
0207.334.035,1,1,Commune de Marchin
0207.334.134,1,1,Commune de Modave
0207.334.332,1,1,Ville de Huy
0207.334.431,1,1,Commune de Nandrin
0207.334.728,1,1,Commune d'Ouffet
0207.336.213,1,1,Commune de Verlaine
0207.336.708,1,1,Commune de Villers-le-Bouillet
0207.337.104,1,1,Commune de Wanze
0207.338.092,1,1,Ville d'Ans
0207.338.389,1,1,Commune d'Awans
0207.338.686,1,1,Commune d'Aywaille
0207.338.884,1,1,Commune de Bassenge
0207.339.280,1,1,Commune de Beyne-Heusay
0207.339.973,1,1,Commune de Chaudfontaine
0207.340.369,1,1,Commune de Comblain-au-Pont
0207.340.468,1,1,Commune de Dalhem
0207.340.963,1,1,Commune d'Esneux
0207.341.557,1,1,Commune de Fléron
0207.342.745,1,1,Ville de  Herstal
0207.343.636,1,1,Commune de Juprelle
0207.343.933,1,1,Ville de Liège
0207.345.418,1,1,Commune d'Oupeye
0207.346.705,1,1,Commune de Saint-Nicolas
0207.347.002,1,1,Ville de Seraing
0207.347.396,1,1,Commune de Soumagne
0207.347.495,1,1,Commune de Sprimont
0207.347.891,1,1,Ville de Marche-en-Famenne
0207.348.584,1,1,Ville de Chiny
0207.348.782,1,1,Commune d'Étalle
0207.348.980,1,1,Ville de Florenville
0207.350.762,1,1,Commune d'Assesse
0207.353.831,1,1,Commune de Burdinne
0207.354.920,1,1,Ville de Tournai
0207.355.019,1,1,Commune de Rumes
0207.355.118,1,1,Commune de Clavier
0207.355.811,1,1,Commune de Floreffe
0207.358.581,1,1,Commune d'Ohey
0207.359.967,1,1,Commune d'Eghezée
0207.361.452,1,1,Commune de Sombreffe
0207.362.343,1,1,Commune de Gesves
0207.362.739,1,1,Ville de Namur
0207.364.818,1,1,Commune de Doische
0207.365.016,1,1,Commune de Mettet
0207.365.115,1,1,Commune de Cerfontaine
0207.365.610,1,1,Commune d'Etterbeek
0207.365.610,2,1,Gemeente Etterbeek
0207.365.709,1,1,Commune d'Evere
0207.365.709,2,1,Gemeente Evere
0207.366.501,1,1,Commune de Molenbeek-Saint-Jean
0207.366.501,2,1,Gemeente Sint-Jans-Molenbeek
0207.366.895,1,1,Commune de Jette
0207.366.895,2,1,Gemeente Jette
0207.366.994,1,1,Commune de Woluwé-Saint-Pierre
0207.366.994,2,1,Gemeente Sint-Pieters-Woluwe
0207.367.489,1,1,Commune de Forest
0207.367.489,2,1,Gemeente Vorst
0207.367.588,1,1,Commune de Saint-Gilles
0207.367.588,2,1,Gemeente Sint-Gillis (bij Brussel)
0207.367.687,1,1,Commune de Schaerbeek
0207.367.687,2,1,Gemeente Schaarbeek
0207.367.984,1,1,Commune de Raeren
0207.367.984,3,1,Gemeinde Raeren
0207.368.380,2,1,Gemeente Linter
0207.368.875,1,1,Commune d'Uccle
0207.368.875,2,1,Gemeente Ukkel
0207.368.974,1,1,Commune de Lontzen
0207.368.974,3,1,Gemeinde Lontzen
0207.369.271,1,1,Ville de Visé
0207.370.459,1,1,Commune d'Aubel
0207.371.647,1,1,Ville de Herve
0207.372.043,1,1,Commune de Profondeville
0207.372.538,1,1,Commune de Koekelberg
0207.372.538,2,1,Gemeente Koekelberg
0207.372.637,1,1,Commune de Watermael-Boitsfort
0207.372.637,2,1,Gemeente Watermaal-Bosvoorde
0207.372.736,1,1,Commune d'Olne
0207.373.429,1,1,Ville de Bruxelles
0207.373.429,1,2,Bruxelles
0207.373.429,2,1,Stad Brussel
0207.373.429,2,2,Brussel
0207.373.627,1,1,Commune de Theux
0207.374.617,1,1,Commune de Berloz
0207.375.310,1,1,Commune de Braives
0207.375.904,1,1,Commune de Crisnée
0207.376.102,1,1,Commune de Donceel
0207.376.397,1,1,Commune de Fexhe-le-Haut-Clocher
0207.376.595,1,1,Commune de Geer
0207.376.991,1,1,Ville de Hannut
0207.378.080,1,1,Commune de Lincent
0207.378.773,1,1,Commune d'Oreye
0207.379.268,1,1,Commune de Remicourt
0207.379.466,1,1,Commune de Saint-Georges-sur-Meuse
0207.380.159,1,1,Ville de Waremme
0207.380.258,1,1,Commune de Wasseiges
0207.380.456,1,1,Commune d'Attert
0207.380.555,1,1,Ville d'Aubange
0207.381.446,1,1,Commune de Martelange
0207.381.644,1,1,Commune de Messancy
0207.382.733,1,1,Commune de Bertogne
0207.383.129,1,1,Commune de Fauvillers
0207.384.812,1,1,Commune de Vielsalm
0207.386.196,1,1,Ville de Durbuy
0207.386.295,1,1,Commune d'Érezée
0207.387.978,1,1,Commune de Rendeux
0207.389.859,1,1,Commune de Woluwe-Saint-Lambert
